1	192.168.96.1	admin1	ddmir4	11	2023-12-22 23:44:21	2023-12-22 23:44:32	5
1	192.168.96.1	admin1	ddmir4	259	2023-12-22 23:44:33	2023-12-22 23:48:53	5
1	192.168.96.1	admin1	ddmir4	5	2023-12-22 23:48:53	2023-12-22 23:48:58	5
1	192.168.96.1	admin1	ddmir4	2	2023-12-22 23:49:00	2023-12-22 23:49:03	5
1	192.168.96.1	admin1	ddmir4	3	2023-12-22 23:49:04	2023-12-22 23:49:08	5
1	192.168.96.1	admin1	ddmir4	3	2023-12-22 23:49:10	2023-12-22 23:49:13	5
1	192.168.96.1	admin1	ddmir4	40	2023-12-22 23:49:15	2023-12-22 23:49:56	5
1	192.168.96.1	admin1	ddmir4	136	2023-12-22 23:49:56	2023-12-22 23:52:12	5
1	192.168.96.1	admin1	ddmir4	90	2023-12-22 23:52:13	2023-12-22 23:53:44	5
1	192.168.96.1	admin1	ddmir4	8	2023-12-22 23:53:49	2023-12-22 23:53:58	5
1	192.168.96.1	admin1	ddmir4	8	2023-12-22 23:54:02	2023-12-22 23:54:11	5
