1	192.168.96.1	admin1	ddmir4	3678	2023-12-24 19:08:24	2023-12-24 20:09:43	5
1	192.168.96.1	admin1	ddmir4	186	2023-12-24 20:09:45	2023-12-24 20:12:51	5
1	192.168.96.1	admin1	ddmir4	234	2023-12-24 20:12:51	2023-12-24 20:16:46	5
1	192.168.96.1	admin1	ddmir4	239	2023-12-24 20:16:47	2023-12-24 20:20:46	5
1	192.168.96.1	admin1	ddmir4	364	2023-12-24 20:20:46	2023-12-24 20:26:51	5
1	192.168.96.1	admin1	ddmir4	236	2023-12-24 20:26:51	2023-12-24 20:30:48	5
1	192.168.96.1	admin1	ddmir4	16	2023-12-24 20:30:49	2023-12-24 20:31:06	5
1	192.168.96.1	admin1	ddmir3	28	2023-12-24 20:31:08	2023-12-24 20:31:37	5
1	192.168.96.1	admin1	ddmir3	15	2023-12-24 20:31:39	2023-12-24 20:31:55	5
1	192.168.96.1	admin1	ddmir3	9	2023-12-24 20:31:56	2023-12-24 20:32:05	5
1	192.168.96.1	admin1	ddmir3	146	2023-12-24 20:32:07	2023-12-24 20:34:34	5
1	192.168.96.1	admin1	ddmir3	10	2023-12-24 20:34:34	2023-12-24 20:34:44	5
1	192.168.96.1	admin1	ddmir3	7	2023-12-24 20:34:46	2023-12-24 20:34:53	5
1	192.168.96.1	admin1	ddmir3	325	2023-12-24 20:34:55	2023-12-24 20:40:21	5
1	192.168.96.1	admin1	ddmir3	119	2023-12-24 20:40:22	2023-12-24 20:42:21	5
1	192.168.96.1	admin1	ddmir3	421	2023-12-24 20:42:23	2023-12-24 20:49:25	5
1	192.168.96.1	admin1	ddmir3	255	2023-12-24 20:49:25	2023-12-24 20:53:41	5
1	192.168.96.1	admin1	ddmir3	183	2023-12-24 20:53:41	2023-12-24 20:56:44	5
