;引擎插件禁止物品配置文件
;物品名称	丢弃	交易	存仓	修理	掉落提示	开宝箱提示	永不暴出	挖取提示
滴滴引擎	0	0	0	0	0	0	0	0	0	0	0	0	0
土城传送石	0	0	0	0	0	0	0	0	0	0	0	0	0
皇城传送石	0	0	0	0	0	0	0	0	0	0	0	0	0
随机传送石	0	0	0	0	0	0	0	0	0	0	0	0	0
强效金创药	0	0	0	0	0	0	0	0	0	0	0	0	0
强效魔法药	0	0	0	0	0	0	0	0	0	0	0	0	0
太阳水	0	0	0	0	0	0	0	0	0	0	0	0	0
强效太阳水	0	0	0	0	0	0	0	0	0	0	0	0	0
疗伤药	0	0	0	0	0	0	0	0	0	0	0	0	0
雪霜	0	0	0	0	0	0	0	0	0	0	0	0	0
万年雪霜	0	0	0	0	0	0	0	0	0	0	0	0	0
雪莲	0	0	0	0	0	0	0	0	0	0	0	0	0
天山雪莲	0	0	0	0	0	0	0	0	0	0	0	0	0
聚灵珠(小)	0	0	0	0	0	0	0	0	0	0	0	0	0
聚灵珠(中)	0	0	0	0	0	0	0	0	0	0	0	0	0
聚灵珠(大)	0	0	0	0	0	0	0	0	0	0	0	0	0
千里传音	0	0	0	0	0	0	0	0	0	0	0	0	0
魔血石	0	0	0	0	0	0	0	0	0	0	0	0	0
火龙之心	0	0	0	0	0	0	0	0	0	0	0	0	0
沃玛号角	0	0	0	0	0	0	0	0	0	0	0	0	0
祖玛头像	0	0	0	0	0	0	0	0	0	0	0	0	0
背包扩充券	0	0	0	0	0	0	0	0	0	0	0	0	0
修复神水	0	0	0	0	0	0	0	0	0	0	0	0	0
祝福油	0	0	0	0	0	0	0	0	0	0	0	0	0
超级祝福油	0	0	0	0	0	0	0	0	0	0	0	0	0
矿石因子	0	0	0	0	0	0	0	0	0	0	0	0	0
金矿	0	0	0	0	0	0	0	0	0	0	0	0	0
铁矿	0	0	0	0	0	0	0	0	0	0	0	0	0
黑铁矿	0	0	0	0	0	0	0	0	0	0	0	0	0
红宝石	0	0	0	0	0	0	0	0	0	0	0	0	0
琥珀石	0	0	0	0	0	0	0	0	0	0	0	0	0
软玉石	0	0	0	0	0	0	0	0	0	0	0	0	0
白金石	0	0	0	0	0	0	0	0	0	0	0	0	0
鉴定卷轴	0	0	0	0	0	0	0	0	0	0	0	0	0
强化卷轴	0	0	0	0	0	0	0	0	0	0	0	0	0
注释	0	0	0	0	0	0	0	0	0	0	0	0	0
转移水晶	0	0	0	0	0	0	0	0	0	0	0	0	0
进阶觉醒卷轴.狂攻	0	0	0	0	0	0	0	0	0	0	0	0	0
进阶觉醒卷轴.血防	0	0	0	0	0	0	0	0	0	0	0	0	0
进阶觉醒卷轴.召唤	0	0	0	0	0	0	0	0	0	0	0	0	0
宗师觉醒卷轴.狂攻	0	0	0	0	0	0	0	0	0	0	0	0	0
宗师觉醒卷轴.血防	0	0	0	0	0	0	0	0	0	0	0	0	0
宗师觉醒卷轴.召唤	0	0	0	0	0	0	0	0	0	0	0	0	0
飞升觉醒卷轴.狂攻	0	0	0	0	0	0	0	0	0	0	0	0	0
